video_url,video_id,caption,like_count,comment_count,share_count
https://www.tiktok.com/@viietnamnews/video/7584329763469233429,7584329763469233429,TAXI VƯỢT ẨU GÂY TAI NẠN CHO XE ĐI NGƯỢC CHIỀU TRÊN QUỐC LỘ 2 TỈNH VĨNH PHÚC. ,108,4,10
https://www.tiktok.com/@24h.tinmoi/video/7582160436821249298,7582160436821249298,CỨ TƯỞNG NGOẠI LỆ CHỨ#24hmedia #24hbongda ,696,160,4950
https://www.tiktok.com/@bichtuyen7991/video/7581863565473205525,7581863565473205525,,,,
https://www.tiktok.com/@df999.facthaymoingay/video/7582892827349159186,7582892827349159186,"Ăn 3 gói mì tôm sống, cậu bé Ai Cập tuvong thương tâm ",1501,2101,64
https://www.tiktok.com/@muathaoxinh/video/7582570400706481426,7582570400706481426,Theo dòng sự 🙄🙄 ,5398,1727,277
https://www.tiktok.com/@multi.show2025/video/7580347575220342034,7580347575220342034,"""Bậc thầy cao gót"" Hoà Minzy bung skill đi cà kheo 20cm tại thảm đỏ Emerge ",2534,1387,6271
https://www.tiktok.com/@blogtamsu.taichinh/video/7581400078066191634,7581400078066191634,Trông hoang dã nhưng check var khiến mấy chú phải bỏ cuộc luôn,420,2713,164
https://www.tiktok.com/@blogtamsu.taichinh/video/7582523973880089857,7582523973880089857,"Đúng 2m² , vừa bằng diện tích ngôi m:ộ
#BTSmedia ",374,4597,5062
https://www.tiktok.com/@mobilelegendsvn_funtap/video/7577248779959651585,7577248779959651585,"Tham gia ngay sự kiện live Tiktok, live càng nhiều - quà càng lớn!",1435,1054,145
https://www.tiktok.com/@tu.hoc.phat123/video/7582514673006775573,7582514673006775573,3xiipmtd8cbrx5s小朋友喜欢看的视频，儿童看的视频，小朋友喜欢看的搞笑视频。,1542,70,83
https://www.tiktok.com/@vnexpress.official/video/7582572863895473428,7582572863895473428,"Hà Nội: Khi bị dừng xe kiểm tra vi phạm, Đặng Từ Minh ôm chặt đại úy cảnh sát giao thông từ phía sau rồi đẩy cả vào gầm xe tải.",88,1,1
https://www.tiktok.com/@phuonganh15014/video/7582184173767494930,7582184173767494930,Mong rằng con cọp cái của ảnh hông thấy clip này 😌 @Minh Tâm ,262,307,259
https://www.tiktok.com/@cuong7979cuong/video/7582241799230524692,7582241799230524692,#خالد_الرجبي #الشيخ_ميقا #مصر #القاهرة ,1938,90,142
