video_id,user,comment_text
7581833198057819399,Multo?,its too realistic to be Ai😭😭
7581833198057819399,kristen dan Islam 🌸,AI ga sih ?
7581833198057819399,Anakin skywalker,Comment reader here’s a pizza [sticker]
7581833198057819399,kaua!˚🗽,GULI GULI GULI GU GU GULI KJAHSF HSFAGA
7581833198057819399,fensnya Valen Pamekasan 😎😎😎,guli guli guli gu gu gu guli kqhdjjdhadi lalala [sticker]
7581833198057819399,Khaska8899,Everyone it’s Ai!!!!
7581833198057819399,CASTELBLACK🏴, [sticker]
7581833198057819399,Emad Sabbir,Ai video 😁
7581833198057819399,khongcoten🐰🦊,Giống con ngọc
7581833198057819399,☆connie☆, [sticker]
7581833198057819399,kaua!˚🗽,GULI GULI GULI GU GU GULI KJAHSF HSFAGA
7581833198057819399,Blacky boii,The girls brain💔🥀
7581833198057819399,.,Khu li khu lì [sticker]
7581833198057819399,sumalinog_axcel32154,it's earthquake magnitude 6.7 omg
7581833198057819399,𝚜𝚊𝚊_𝚜𝚝𝚎𝚌𝚞🧟‍♀️🥷,wkwkwk [sticker]
7581833198057819399,♥️素食便當嘉懿隻雞腿🙌,
7581833198057819399,bastovanoviccc 🛼,✨GULI GULI GULI GU GU GU GULI KQHDJJDHAHA JAJAJJJA✨
7581833198057819399,soup,
7581833198057819399,fensnya Valen Pamekasan 😎😎😎,guli guli guli gu gu gu guli kqhdjjdhadi lalala [sticker]
7581833198057819399,vẫn cứ buồn…!,nhật ký xoá kiểu gì
7581833198057819399,Minton😎,Ai? or  real
7581833198057819399,L., [sticker]
7581833198057819399,Janelle🎼, [sticker]
7581833198057819399,James,
7581833198057819399,~Saleeha💗🤭Σ>―(〃°ω°〃)♡→,mimpi jatuh betul²🤣🤣
7581833198057819399,🇻🇳 Yến 🇻🇳,đây là video AI
7581833198057819399,Dimitris432,Nice AI video!
7581833198057819399,Vasa Dasa,Guli Guli Guli🎵🎵🎵🔉
7581833198057819399,การแจ้งเตือน,ใครคิดว่าเหมือนซ้อโมกด1มา
7581833198057819399,Sniper  (すないぱぁ),AIなのに落ち方綺麗すぎて一瞬信じてしまった
7581833198057819399,rayqal, [sticker]
7581833198057819399,KOKO 🗿🗿,AI video 🤣🤣🗿
7581833198057819399,第二代福爾摩斯~,還好是假的🗿
7581833198057819399,Steal a Zhaslan,Куры куры куры
7581833198057819399,Memes,GULI GULI GULI GU GU GU GULI GSGEHE LAALALAL
7581833198057819399,zam pex ☠️,pasti kalian nonton jumat pagi
7581833198057819399,Haizha,"GULI GULI GULI~GU GU GU GULI~~TATATANGTALALA-
the boy:TUNI QUNIYA?!PUSHIBSBTFCSJ😂ya"
7581833198057819399,min🚩❤‍🔥,aku sorang Je malaysia
7581833198057819399,ภควัต 💞ชื่อเกมZGDX.(กรงับ),คนไทยมนี่มา
7581833198057819399,stevethiago,soy yo o es IA 😭😭😭
7581833198057819399,️,when y guncangan 12.12 shale
7581833198057819399,oh no cringe, [sticker]
7581833198057819399,가연💗,이주희..?
7581833198057819399,★nanaii_💤★,Eehh ini asli atau AI sihhhh🗿??
7581833198057819399,為了安慰Jerry我要送他一拳👊,這是真的嗎？
7581833198057819399,rengoku mi vida,Qué buena suerte por lo menos tenían una piscina
7582209614205472008,Kiên Nguyễn,"💀 thằng bé sau 1 năm ngày luyện, đêm luyện, tắm luyện,ỉa luyện quay lại và chơi golden hour"
7582209614205472008,Quốc Tiến,Không thấy đoạn đầu thầy mày còn định múa La Campanella à :)))
7582209614205472008,ainguyen917,giỏi lắm con trai
7582209614205472008,️,Thầy thử đánh bài golden hour đê:)))
7582209614205472008,Minhtien Nong,thầy chưa gì mà đã lụm la campanella luôn rồi
7582209614205472008,Zjjjicr7,Tim để có màu [sticker]
7582209614205472008,tuann.phattらラ,Thằng bé vài năm sau
7582209614205472008,Giuse Nhất👼,"cũng là thằng bé đấy sau 1 năm ngày luyện, đêm luyện, tắm luyện,đái luyện,ỉa luyện,lọ cũng luyện và nó quay lại và chơi golden hour để trả thù💀💀💀"
7582209614205472008,️Hoàng Anh Nè!,Ko thấy thầy đang múa La Campanella dở à 😭
7582209614205472008,️𝙌𝙃𝙪𝙮➴.,thầy bt đánh bài golden hour ko thầy =))
7582209614205472008,★A☆,"thằng bé sau 1 năm ngày luyện, đêm luyện, tắm luyện,ỉa luyện quay lại và chơi golden hour"
7582209614205472008,#𝐍𝐞𝐳𝐮𝐤𝐨..🎋,thầy dạy ở đâu v thầy em k muốn học
7582209614205472008,@Hà Otis Official ✅,Hơn thua vs cả học trò của mình 🤣
7582209614205472008,Z3R0⚡︎,Hy vọng được khen thành tuyệt vọng
7582209614205472008,Amityfo_1952_Mc,học sinh: [sticker]
7582209614205472008,୨𝐐𝐮𝐲̀𝐧𝐡𝐡˙∘˚⊹🦦,thk bé :
7582209614205472008,Cupcake🧁👍,mai sau thấy học sinh quay trở lại với giải top1 piano quốc tế:))))
7582209614205472008,Nhật chó điên.,"Ủa này bài j nhỉ, nghe quen quen mà quên r"
7582209614205472008,doo kihote,thử bài nài ik =))
7582209614205472008,🎭🕯️🩶any🩶🕯️🎭,nụ cười đã tắt 🙂
7582209614205472008,Bad_Boy 🤪,Thầy làm bài golden hours đi thầy 🤩
7582209614205472008,1 Nốt Nhạc,"ý thằng nhỏ là nhắc thầy tặng quà giáng sinh, mà ông thầy thật thà quá😅"
7582209614205472008,4thang8😋,thg bé: ủa chờ đc khen mà :)))
7582209614205472008,Hưng,Hơn thua😭👍
7582209614205472008,️129600,kẻ dập tắt hy vọng
7582209614205472008,Tiny Hoang Lan,"t thằng bé đàn hay hơn thầy nha. nó dùng có 50% công lực ( 1tay) thôi. 😂
an ủi thằng pé dùm t cái."
7582209614205472008,Tri Dat,nữa nó quay lại đánh bài RUSH E
7582209614205472008,mèo mê tiền✨💸,thk nhỏ:
7582209614205472008,Huy Đăng Nguyễn,ê thiệt á golden hour nhìn v th chứ dễ lắm chơi piano sẽ biết nó dễ
7582209614205472008,NP™,thầy mất việc
7582209614205472008,Keburo 🍫🌻,khen bé nó câu đi thầy 😭😭😭😭😭
7582209614205472008,Định,Mới Tạo acc gặp thách đấu
7582209614205472008,Nguyễn Nam,có mình t thấy đoạn đầu giống instru bài shut down thoi đúng khong=))))))
7582209614205472008,Khánh Táp Chuyện,Bỗng học sinh đánh rush E
7582209614205472008,████████████████████████,nụ cười đã tắt...
7582209614205472008,QangL,Thằng bé:
7582209614205472008,Shushi,áp lực r mới tạo kim cương dc =)))
7582209614205472008,ineedyouuuu028,từ thất vọng sang tuyệt vọng🤡
7582209614205472008,Janafa 😴😴, [sticker]
7582209614205472008,N♡,tìm nó sẽ cười [sticker]
7582209614205472008,Janafa 😴😴, [sticker]
7582209614205472008,N♡,tìm nó sẽ cười [sticker]
7582209614205472008,tôi yêu T,học trò:thôi đi về luôn chứ học làm j nữa
7582209614205472008,Quang Đức ^^,chú thử đánh đàn kapi piano đi
7582209614205472008,baonamdzs1,Cao thủ và thách đấu khác nhau ở đó :)
7582209614205472008,౨ৎ⋆˚｡⋆Bống⋆ 𐙚,Nụ cười đã tắt 😭
7582209614205472008,🌹ʚᴅᵘ̛ᵒ̛ⁿᵍও🌹,từ đó e không còn hứng thú với piano nữa :))
7582209614205472008,huh?,Thk nhỏ
7582209614205472008,I don't know,"-1 học trò
+1 phản diện"
7582209614205472008,Bthuongthoibn,Nó quên người trước mặt nó là ông thầy cần idea😔
7582209614205472008,Alack Sandra,học sinh :
7582209614205472008,Lồn🥀,học trò:
7582209614205472008,Tr Anh Thư ok,S mà hay so đo quá😔
7582209614205472008,🪉,Ng hc đc 7 buổi gặp ng học nhạc viện 7 năm🤡
7582209614205472008,DuyKhang,Mới tạo acc gặp trùm sever…
7582209614205472008,sợ chơi bijan,thích hơn thua nhưng chỉ hơn chứ ko thua 😂😂😂
7582209614205472008,P Thinh,m làm thầy t hơi lâu r
7582209614205472008,PNHH.,Từ thầy thành ổng 😂
7582209614205472008,búp bê barbie sima,nụ cười đã tắt đằng sau nước mắt
7582209614205472008,Hutao[GDVN]180hz🇻🇳,chắc ế học sinh lắm đây
7582099924930645266,Như tv 96,ở khu vực nào của kiên giang ạ
7582099924930645266,Yamaha_1989,kiên giang là tỉnh nào ạ
7582099924930645266,Trái_Dâu ...???,chuyện gì vậy 🤔
7582099924930645266,"T.,Trang",bị gì vậy bạn
7582099924930645266,useronhdmv4tn0,ở Kiên Giang khu vực nào vậy bạn
7582099924930645266,Phong Pham 0667,đường nào vậy hả bạn
7582099924930645266,Mẹ thích màu hường (bánh bèo),Tôi người Kiên Giang mà chưa đi chỗ nào như vậy
7582099924930645266,陈美丽🤩 linh 68,giong duong phu cuong qua vay ban
7582099924930645266,mai,o dau ko noi ro
7582099924930645266,hau_gia1999,xét nghiệm tử thi công an bảo sao ad
7582099924930645266,💍 Mẹ Bơ🥑👧🏻,Ở khu vực nào kiên giang v a
7582099924930645266,Nhung68✅,Gần Kế bên quán mình
7582099924930645266,đông,đăng mà không nói gì rõ sao biết được
7582099924930645266,Quốc nam,quai video gì có chút xíu
7582099924930645266,Minh Danh,kiêng giang chỗ nào zaj
7582099924930645266,Ngoc sáng  1989,di đám tắc cậu người nhà đăng tìm mấy ngày nay. nam mô a di đà phật
7582099924930645266,phù phúc,nam Mô A Di Đà Phật
7582099924930645266,hà thu,thấy ngày nay là ngày mấy tháng mấy vậy
7582099924930645266,hanhhong hanh,vu gi vsy e
7582099924930645266,ÚT NHỎ,bị gì vậy ạ
7582099924930645266,Sồn Sồn,ở nơi nào vậy
7582099924930645266,Ngoc sáng  1989,di đám tắc cậu người nhà đăng tìm mấy ngày nay. nam mô a di đà phật
7582099924930645266,Ngan Nguyen,vì vậy bạn
7582099924930645266,linh1234,chả biết lí do làm sao
7582099924930645266,Phan Minh,phải a trai chạy xe sipo pk ạ
7582099924930645266,Trần Hùng,Amen amen
7582099924930645266,cuộc sống ?,Kiên Giang là ở đâu vậy mọi người ạk
7582099924930645266,KIM NGỌC 68 ✅,bị sao vậy bạn ơi
7582099924930645266,Đính Nguyễn,nam mô a Di Đà Phật 🙏🙏🙏
7582099924930645266,kimhài3,a Di Đà Phật
7582099924930645266,mất niềm tin,chuyện gì thế 🥰
7582099924930645266,vancongngo70,nam mo a di da phat
